id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
MA:0000346	MA:0002564		adult_mouse_anatomy.gxd		salivary gland											
MA:0000150	MA:0002564		adult_mouse_anatomy.gxd		sweat gland											
MA:0001688	MA:0002564		adult_mouse_anatomy.gxd		urethra gland											
MA:0000794	MA:0002565		adult_mouse_anatomy.gxd		mammary gland sebaceous gland											
MA:0003043	MA:0002565		adult_mouse_anatomy.gxd		modified sebaceous gland											
MA:0000149	MA:0002565		adult_mouse_anatomy.gxd		pilosebaceous gland											
MA:0002452	MA:0002565		adult_mouse_anatomy.gxd		sebaceous gland of eye											
MA:0001732	MA:0002565		adult_mouse_anatomy.gxd		vagina sebaceous gland											
MA:0000483	MA:0002739		adult_mouse_anatomy.gxd		parietal serous pericardium											
MA:0000484	MA:0002739		adult_mouse_anatomy.gxd		visceral serous pericardium											
MA:0001461	MA:0002780		adult_mouse_anatomy.gxd		compact bone											
MA:0002836	MA:0002780		adult_mouse_anatomy.gxd		endochondral bone											
MA:0002837	MA:0002780		adult_mouse_anatomy.gxd		intramembranous bone											
MA:0002781	MA:0002780		adult_mouse_anatomy.gxd		lamellar bone											
MA:0002782	MA:0002780		adult_mouse_anatomy.gxd		trabecular bone											
MA:0002857	MA:0002853		adult_mouse_anatomy.gxd		cardiovascular system elastic tissue											
MA:0001820	MA:0002853		adult_mouse_anatomy.gxd		respiratory system elastic tissue											
MA:0002859	MA:0002856		adult_mouse_anatomy.gxd		aorta elastic tissue											
MA:0002862	MA:0002856		adult_mouse_anatomy.gxd		external elastic membrane											
MA:0002863	MA:0002856		adult_mouse_anatomy.gxd		internal elastic membrane											
MA:0002856	MA:0002857		adult_mouse_anatomy.gxd		blood vessel elastic tissue											
MA:0002858	MA:0002857		adult_mouse_anatomy.gxd		heart elastic tissue											
MA:0000178	MA:0002943		adult_mouse_anatomy.gxd		neurohypophysis											
MA:0000175	MA:0002943		adult_mouse_anatomy.gxd		pineal gland											
MA:0002941	MA:0002943		adult_mouse_anatomy.gxd		subcommissural organ											
MA:0002433	MA:0003000		adult_mouse_anatomy.gxd		anatomic region											
MA:0002450	MA:0003000		adult_mouse_anatomy.gxd		body fluid or substance											
MA:0003001	MA:0003000		adult_mouse_anatomy.gxd		organ											
MA:0000003	MA:0003000		adult_mouse_anatomy.gxd		organ system											
MA:0002405	MA:0003000		adult_mouse_anatomy.gxd		postnatal mouse											
MA:0003002	MA:0003000		adult_mouse_anatomy.gxd		tissue											
MA:0003038	MA:0003001		adult_mouse_anatomy.gxd		gland											
MA:0000011	MA:0003002		adult_mouse_anatomy.gxd		connective tissue											
MA:0003060	MA:0003002		adult_mouse_anatomy.gxd		epithelium											
MA:0002437	MA:0003002		adult_mouse_anatomy.gxd		muscle tissue											
MA:0003047	MA:0003002		adult_mouse_anatomy.gxd		skeletal tissue											
MA:0001622	MA:0003004		adult_mouse_anatomy.gxd		falciform ligament											
MA:0001619	MA:0003004		adult_mouse_anatomy.gxd		gastro-splenic ligament											
MA:0001755	MA:0003004		adult_mouse_anatomy.gxd		larynx ligament											
MA:0001620	MA:0003004		adult_mouse_anatomy.gxd		lieno-renal ligament											
MA:0001258	MA:0003004		adult_mouse_anatomy.gxd		medial palpebral ligament											
MA:0001228	MA:0003005		adult_mouse_anatomy.gxd		auricular ligament											
MA:0002467	MA:0003005		adult_mouse_anatomy.gxd		periodontal ligament											
MA:0002957	MA:0003005		adult_mouse_anatomy.gxd		stylohyoid ligament											
MA:0002563	MA:0003038		adult_mouse_anatomy.gxd		endocrine gland											
MA:0002564	MA:0003038		adult_mouse_anatomy.gxd		exocrine gland											
MA:0000147	MA:0003040		adult_mouse_anatomy.gxd		apocrine sweat gland											
MA:0003039	MA:0003041		adult_mouse_anatomy.gxd		eccrine sweat gland											
MA:0002565	MA:0003042		adult_mouse_anatomy.gxd		sebaceous gland											
MA:0003044	MA:0003043		adult_mouse_anatomy.gxd		clitoral/preputial gland											
MA:0001249	MA:0003043		adult_mouse_anatomy.gxd		meibomian gland											
MA:0002900	MA:0003043		adult_mouse_anatomy.gxd		zymbal gland											
MA:0001702	MA:0003044		adult_mouse_anatomy.gxd		clitoral gland											
MA:0000403	MA:0003044		adult_mouse_anatomy.gxd		preputial gland of male											
MA:0002780	MA:0003047		adult_mouse_anatomy.gxd		bone tissue											
MA:0000001																
